user_id,time
19224,20201102200000
23664,20201116140000
15166,20201114130000
12590,20201108210000
15932,20201103210000
16852,20201119150000
23427,20201121110000
13507,20201111160000
11274,20201118120000
20610,20201127230000
21418,20201117120000
19026,20201129110000
23843,20201119180000
16996,20201112150000
17804,20201116150000
13310,20201130160000
12983,20201130220000
24849,20201118220000
13812,20201104160000
22757,20201118200000
10667,20201104160000
19524,20201130120000
10734,20201127170000
17693,20201121220000
16904,20201102110000
18567,20201102130000
23251,20201113190000
19087,20201102170000
14197,20201120190000
23970,20201114010000
18073,20201124160000
19860,20201109110000
18203,20201107120000
11683,20201116160000
18527,20201124150000
23028,20201102120000
21970,20201127120000
19899,20201123150000
14827,20201104130000
11016,20201126200000
12820,20201106180000
12244,20201109210000
24658,20201126150000
23781,20201127150000
23149,20201104130000
21922,20201121170000
17285,20201124120000
18840,20201121150000
16288,20201116200000
16634,20201109150000
21067,20201109140000
23470,20201121170000
15276,20201103180000
17192,20201126110000
12953,20201107230000
19633,20201110170000
13394,20201109110000
18929,20201123120000
19220,20201119220000
14493,20201110110000
24154,20201124120000
17080,20201117130000
12246,20201109200000
22553,20201116120000
23685,20201113230000
21644,20201107180000
17734,20201121210000
14831,20201126190000
13361,20201116180000
20212,20201124110000
21626,20201126130000
22234,20201112190000
19900,20201102190000
14351,20201113120000
22819,20201111150000
10437,20201117190000
17896,20201113130000
22149,20201114230000
24539,20201111140000
24929,20201118000000
16938,20201121120000
24795,20201117200000
17202,20201130120000
19461,20201105130000
13356,20201116160000
20817,20201109160000
21016,20201116150000
14662,20201120150000
24039,20201122190000
15414,20201124160000
11639,20201115050000
15195,20201121120000
17581,20201126120000
11475,20201122190000
20627,20201125180000
24799,20201106010000
10466,20201111120000
19865,20201123230000
15706,20201111120000
24098,20201119110000
10456,20201112200000
12178,20201105000000
23974,20201104160000
15535,20201114000000
22052,20201118200000
15979,20201121000000
17404,20201109220000
13300,20201102190000
21542,20201113170000
19512,20201112180000
14809,20201130190000
17540,20201110160000
13345,20201116160000
24375,20201117200000
19708,20201128130000
19181,20201126130000
15931,20201105180000
23550,20201111150000
18409,20201127110000
20541,20201130160000
18276,20201128140000
23747,20201113180000
12408,20201102110000
18044,20201119150000
12323,20201118180000
19147,20201102110000
15233,20201110110000
11976,20201119190000
20757,20201126180000
23247,20201130200000
21318,20201107210000
15319,20201126160000
15673,20201102170000
22452,20201130190000
19770,20201124150000
13623,20201113160000
14629,20201114110000
11470,20201112180000
10212,20201104190000
19318,20201124230000
14896,20201109160000
22225,20201114110000
17485,20201130190000
21386,20201109110000
17479,20201106190000
23455,20201118160000
18238,20201104180000
16832,20201109200000
17821,20201112150000
11885,20201125150000
20492,20201111110000
17931,20201102140000
11697,20201105120000
15914,20201112150000
18226,20201121140000
22091,20201126120000
19514,20201124160000
21636,20201102150000
24422,20201102120000
19817,20201125010000
14103,20201109130000
15386,20201118130000
18632,20201111120000
18540,20201104120000
17141,20201111110000
20569,20201127150000
19806,20201111130000
16267,20201109200000
12224,20201118130000
23144,20201116220000
22707,20201121160000
21463,20201121150000
12551,20201117190000
14719,20201123180000
20909,20201126200000
17973,20201102110000
16143,20201127130000
14616,20201109170000
20515,20201123230000
21297,20201119120000
22688,20201123160000
10242,20201125170000
15704,20201104150000
16298,20201126190000
18306,20201117140000
22606,20201114140000
18213,20201114110000
16429,20201120110000
12012,20201116190000
22716,20201120150000
23917,20201102160000
13846,20201130130000
24274,20201119160000
16665,20201101190000
17560,20201104130000
16797,20201109120000
24086,20201117150000
19091,20201117090000
16257,20201103190000
24439,20201105180000
22249,20201130180000
24803,20201103150000
21954,20201102180000
23555,20201116170000
24582,20201122170000
13775,20201124210000
21251,20201112120000
17069,20201102160000
15971,20201127160000
18189,20201109190000
14422,20201123120000
16616,20201109150000
14283,20201104150000
24074,20201127200000
14179,20201119210000
17484,20201126160000
11380,20201125130000
11647,20201121170000
13810,20201106120000
20357,20201117200000
14872,20201104230000
13288,20201117200000
23234,20201121110000
19196,20201112190000
24568,20201103170000
17203,20201102120000
10218,20201106180000
16220,20201123220000
11650,20201109230000
17104,20201125150000
13173,20201125150000
12844,20201120200000
15619,20201120210000
16240,20201108210000
24774,20201125210000
23132,20201102160000
16891,20201102200000
17826,20201106150000
22876,20201120140000
22277,20201110190000
21099,20201123110000
23209,20201110190000
20561,20201124180000
13531,20201116180000
18258,20201106120000
16645,20201110110000
14992,20201117210000
21023,20201102130000
23944,20201104220000
10823,20201129170000
19160,20201127120000
20334,20201117120000
21231,20201125170000
15178,20201121120000
13206,20201123150000
11997,20201121110000
13291,20201118170000
14232,20201106170000
20134,20201124120000
14062,20201114140000
18228,20201110230000
22165,20201112180000
20682,20201127120000
14721,20201103160000
17715,20201130120000
11202,20201117150000
23440,20201118110000
20016,20201125200000
14351,20201109230000
14735,20201128210000
18007,20201126000000
18636,20201112120000
15047,20201119140000
22357,20201114180000
15892,20201102220000
21404,20201113120000
22915,20201109160000
16197,20201104170000
19169,20201114110000
23365,20201102120000
13177,20201116130000
22898,20201109150000
12151,20201124000000
14760,20201103140000
12491,20201124230000
21977,20201116120000
16283,20201124110000
21000,20201128190000
20205,20201128220000
16611,20201125120000
20048,20201124190000
12911,20201111200000
19158,20201110110000
24395,20201120120000
21229,20201106180000
21244,20201103150000
15258,20201127190000
13375,20201108200000
11540,20201110190000
15504,20201127150000
12176,20201120150000
12574,20201111170000
13845,20201105130000
18597,20201123130000
10902,20201120220000
13178,20201118160000
12140,20201119130000
14115,20201119170000
20666,20201106190000
24271,20201102130000
12419,20201117180000
22997,20201111140000
10686,20201108230000
11500,20201125110000
10126,20201130140000
15134,20201125120000
13446,20201116130000
24313,20201130200000
10150,20201111110000
11733,20201124200000
13419,20201118180000
16161,20201105120000
21908,20201103170000
24665,20201111170000
23848,20201127110000
14024,20201125180000
21348,20201102170000
16738,20201113000000
10359,20201116120000
22472,20201119110000
21860,20201128110000
20594,20201106140000
15304,20201102160000
10461,20201110150000
17623,20201113170000
19539,20201105180000
13496,20201123150000
21022,20201112150000
14426,20201121120000
14150,20201120210000
21761,20201118170000
11819,20201102120000
16712,20201111190000
23965,20201103140000
17234,20201106130000
