,0
0,1.0
1,0.2618807
2,0.122948736
3,0.12325904
4,0.003973633
5,0.6511253
6,0.16460499
7,0.10714671
8,0.9995135
9,0.16557989
10,0.0438264
11,0.24563393
12,0.1230481
13,0.087421924
14,0.008166134
15,0.48143962
16,0.001485467
17,2.401406e-12
18,0.015555769
19,0.00015577674
20,0.99935126
21,0.03407246
22,0.107534915
23,0.13671467
24,0.9303119
25,0.0011042058
26,0.14687017
27,0.008869767
28,1.0
29,0.93928003
30,0.20890224
31,0.98806715
32,0.15974596
33,0.028856367
34,0.1183137
35,0.12342647
36,0.10604668
37,0.001598239
38,0.019736886
39,0.16697308
40,0.06499606
41,0.18460289
42,0.13861227
43,0.95760334
44,0.20148021
45,1.0
46,0.9998616
47,0.12690368
48,0.0023715496
49,0.99144375
50,0.21177197
51,0.00784865
52,0.047129303
53,0.14519668
54,0.04751882
55,0.024399638
56,0.9987297
57,9.231608e-06
58,1.0
59,0.97726583
60,1.0
61,0.99894595
62,0.7705311
63,0.06334713
64,0.0011926293
65,0.06423271
66,0.0339835
67,0.9998996
68,0.011000633
69,0.072598755
70,1.0
71,0.04446748
72,0.005039066
73,0.99282086
74,0.07228869
75,0.32449418
76,0.98698455
77,0.8507619
78,0.9287483
79,0.14209536
80,0.06759691
81,0.07778984
82,0.21577904
83,0.029117435
84,0.6938756
85,0.028674692
86,0.9999302
87,0.09921506
88,0.019688249
89,0.12051192
90,0.0015914738
91,0.07744157
92,0.10645467
93,0.036068797
94,0.99992764
95,0.14589107
96,0.025133938
97,0.053958625
98,1.0
99,0.01618591
100,0.0056626797
101,0.9989495
102,0.12797973
103,0.1708656
104,0.21182397
105,0.1307703
106,0.9975405
107,1.0
108,0.18676388
109,0.15591753
110,0.13088435
111,0.25712258
112,0.16252944
113,0.16291839
114,0.20532313
115,0.15472159
116,0.9888619
117,0.14488256
118,0.030971378
119,0.0071398914
120,0.15237895
121,0.3318597
122,0.9744495
123,0.25289035
124,1.0
125,0.681733
126,1.0
127,0.09579915
128,0.00019904971
129,0.99536705
130,0.016956657
131,0.07216486
132,0.999956
133,0.69974107
134,0.004177481
135,0.27338976
136,0.017482162
137,0.0010968745
138,0.020581573
139,0.1441108
140,0.99512947
141,0.14812282
142,0.16728109
143,0.0029721856
144,0.121046185
145,0.08576995
146,1.0
147,0.99992394
148,1.0
149,0.8369462
150,0.091929495
151,1.0
152,0.0923875
153,0.03350085
154,0.67967767
155,0.08381659
156,0.025802523
157,0.10167101
158,0.003376186
159,0.21369419
160,0.99978924
161,0.00096839666
162,0.026182115
163,0.9999997
164,0.15363973
165,0.37853163
166,0.258
167,0.34197247
168,0.07500616
169,0.032485932
170,0.030809969
171,0.30056
172,0.07803881
173,1.0
174,0.23836035
175,0.73483586
176,0.15625167
177,0.99996316
178,0.68588567
179,0.0077131093
180,0.18228474
181,0.15278757
182,0.9991974
183,1.0
184,1.0
185,0.23862234
186,0.005818963
187,0.68407637
188,0.17208976
189,0.024615228
190,1.0
191,0.17195949
192,0.114556044
193,0.061775386
194,0.009818047
195,0.09758294
196,0.1477026
197,0.17258209
198,0.26503378
199,0.9527111
200,0.17520848
201,0.102410376
202,0.17098573
203,0.10915828
204,0.09884629
205,0.99998873
206,0.01502946
207,0.1819615
208,0.21731785
209,1.0
210,0.32027346
211,0.9997921
212,0.513565
213,0.12089464
214,0.16409963
215,0.005945623
216,0.9986999
217,0.9629523
218,0.9667524
219,0.13315424
220,0.99999386
221,0.7175925
222,0.0011993647
223,0.8166572
224,0.09020451
225,1.0
226,0.113797754
227,0.007960558
228,0.13673195
229,0.12235716
230,0.9999982
231,0.13305947
232,0.28562957
233,1.0
234,0.13547838
235,0.11227852
236,0.9888867
237,0.20817003
238,0.3540267
239,0.2717461
240,0.39591908
241,0.02853337
242,0.080372244
243,0.0869185
244,0.23551148
245,0.00023978949
246,0.37081283
247,0.042573392
248,1.0
249,0.35447806
250,0.3166374
251,0.17531395
252,0.0020796657
253,0.55576724
254,0.9115598
255,0.13552472
256,0.99999964
257,0.2160517
258,0.1290893
259,0.009911299
260,0.10236144
261,0.054772973
262,1.0
263,0.11060679
264,0.0
265,0.07166377
266,0.124497026
267,0.9762342
268,0.08016211
269,0.10972014
270,0.46614268
271,0.14151397
272,0.051556945
273,0.028026491
274,0.12798822
275,0.095475644
276,0.09511536
277,0.0969004
278,0.012148142
279,0.2433159
280,0.070341945
281,0.16582057
282,0.9854467
283,0.28440127
284,1.0
285,0.062169254
286,0.13459021
287,0.9747988
288,0.0074653327
289,0.0076159537
290,0.13527328
